估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
83,205.3947568,205.3946972,0.0000596,,,,,83,7.11E-05,8.18E-02,,,,,,
84,207.9063334,207.9062589,0.00007446,,,,,84,5.39E-05,7.46E-02,,,,,,
85,209.5765596,209.5765097,0.00004988,,,,,85,3.93E-05,8.46E-02,,,,,,
86,211.6909302,211.6908626,0.00006765,,,,,86,4.30E-05,7.11E-02,,,,,,
87,213.3479615,213.3479194,0.00004214,,,,,87,3.99E-05,7.51E-02,,,,,,
88,214.5470719,214.5470448,0.00002713,,,,,88,2.85E-05,8.93E-02,,,,,,
89,216.1696184,216.1695385,0.00007985,,,,,89,3.24E-05,8.24E-02,,,,,,
90,219.0676958,219.0675964,0.00009946,,,,,90,5.61E-05,8.14E-02,,,,,,
91,220.7137422,220.7149188,0.00117666,,,,,91,3.67E-05,8.20E-02,,,,,,
92,221.4308494,221.4307056,0.0001438,,,,,92,3.96E-05,8.46E-02,,,,,,
93,198.400824,224.0070003,25.6061763,,,,,93,3.19E-05,8.04E-02,,,,,,
94,224.9834242,224.9833247,0.00009953,,,,,94,3.20E-05,7.52E-02,,,,,,
95,227.4214972,227.4214443,0.00005295,,,,,95,4.32E-05,8.14E-02,,,,,,
96,229.337461,229.3374133,0.00004771,,,,,96,3.14E-05,7.06E-02,,,,,,
97,231.2481295,231.2501887,0.00205916,,,,,97,2.92E-05,8.18E-02,,,,,,
98,352.8214773,231.9872353,120.8342421,,,,,98,4.55E-05,7.67E-02,,,,,,
99,233.6935009,233.6934042,0.00009667,,,,,99,3.18E-05,6.49E-02,,,,,,
100,236.5242834,236.5242297,0.00005377,,,,,100,2.92E-05,7.34E-02,,,,,,
101,237.7698633,237.7698205,0.00004279,,,,,101,1.65E-04,8.54E-02,,,,,,
102,239.5555128,239.5554776,0.00003518,,,,,102,3.75E-05,7.08E-02,,,,,,
103,241.0492193,241.0491578,0.00006151,,,,,103,5.16E-05,7.47E-02,,,,,,
104,242.8285061,242.8232719,0.00523413,,,,,104,3.39E-05,9.27E-02,,,,,,
105,244.0709703,244.0708985,0.00007181,,,,,105,2.96E-05,1.02E-01,,,,,,
106,247.1370956,247.1369901,0.00010548,,,,,106,3.51E-05,8.43E-02,,,,,,
107,248.1019468,248.1019901,0.00004323,,,,,107,5.70E-05,8.31E-02,,,,,,
108,249.5737721,249.5736896,0.00008248,,,,,108,3.27E-05,8.18E-02,,,,,,
