x,pi,Li,ratio1,ratio2
1191,195,203.861,0.956536,1.15961
1207,197,206.118,0.955765,1.15815
1224,200,208.511,0.959182,1.16175
1240,203,210.759,0.963184,1.16608
1257,204,213.144,0.957101,1.15819
1274,205,215.524,0.951172,1.1505
1291,210,217.899,0.963749,1.16519
1309,214,220.409,0.97092,1.17332
1327,217,222.915,0.973465,1.17587
1344,217,225.277,0.963258,1.16305
1363,218,227.912,0.956509,1.15437
1381,221,230.404,0.959185,1.1571
1400,222,233.029,0.952671,1.14873
1419,223,235.649,0.946321,1.14057
1438,227,238.265,0.952721,1.14779
1458,231,241.013,0.958455,1.15418
1477,233,243.619,0.956412,1.15124
1497,238,246.357,0.966078,1.16237
1518,240,249.226,0.96298,1.15813
1538,242,251.954,0.960492,1.15465
1559,246,254.813,0.965412,1.16007
1580,249,257.667,0.966363,1.16072
1602,252,260.651,0.966808,1.16074
1623,257,263.495,0.975351,1.17052
1645,259,266.468,0.971973,1.16597
1668,262,269.571,0.971914,1.16539
1690,263,272.534,0.965018,1.15665
1713,267,275.625,0.968706,1.16059
1736,270,278.712,0.968743,1.16015
1760,274,281.926,0.971886,1.16342
1784,276,285.135,0.967963,1.15824
1808,279,288.338,0.967616,1.15735
1832,282,291.535,0.967295,1.1565
1857,283,294.859,0.95978,1.14704
1882,289,298.178,0.96922,1.15786
1908,292,301.623,0.968096,1.15603
1934,295,305.062,0.967017,1.15427
1960,297,308.495,0.96274,1.14871
1986,299,311.921,0.958575,1.14329
2013,305,315.474,0.9668,1.15263
2041,309,319.151,0.968194,1.15382
2068,311,322.691,0.963771,1.1481
2096,316,326.355,0.968271,1.15301
2125,319,330.144,0.966246,1.15013
2153,325,333.795,0.973651,1.1585
2183,327,337.701,0.968313,1.15168
2212,329,341.469,0.963484,1.1455
2242,333,345.361,0.964208,1.14591
2273,338,349.376,0.96744,1.1493
2303,342,353.254,0.968142,1.1497
2335,345,357.383,0.96535,1.14593
2366,350,361.377,0.968517,1.14925
2398,356,365.492,0.974028,1.15535
2431,360,369.729,0.973686,1.1545
2464,364,373.958,0.97337,1.15368
2497,367,378.18,0.970437,1.14977
2531,370,382.523,0.967263,1.14558
2565,375,386.858,0.969348,1.14762
